tenure,MonthlyCharges,InternetService_Fiber optic,PhoneService_Yes,MultipleLines_Yes,Contract_Two year,gender_Male,Dependents_Yes,Churn_Yes,TenureGroup_1-2yrs,TenureGroup_2-4yrs,TenureGroup_4-6yrs,TenureGroup_6+yrs,MonthlyChargesBin_Medium,MonthlyChargesBin_High,MonthlyChargesBin_Very High,Cluster
-1.2924336180514295,-1.182532913033441,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1
0.05673064288178709,-0.27626417586839563,False,True,False,False,True,False,False,0,1,0,0,1,0,0,1
-1.2515498525686046,-0.37993329340388055,False,True,False,False,True,False,True,0,0,0,0,1,0,0,1
0.5064520631928593,-0.7661843603506067,False,False,False,False,True,False,False,0,1,0,0,1,0,0,1
-1.2515498525686046,0.18355852287770674,True,True,False,False,False,False,True,0,0,0,0,0,1,0,0
-1.0062472596716563,1.1516943140558642,True,True,True,False,False,False,True,0,0,0,0,0,0,1,0
-0.43387454291210986,0.7988848979270362,True,True,True,False,True,True,False,1,0,0,0,0,1,0,0
-0.9244797287060068,-1.185877078115231,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1
-0.18857195001516136,1.3239188157680404,True,True,True,False,False,False,True,0,1,0,0,0,0,1,3
1.2014760764008798,-0.3030174965227144,False,True,False,False,True,True,False,0,0,1,0,1,0,0,2
-0.8018284322575325,-0.5103557315936841,False,True,False,False,True,True,False,1,0,0,0,1,0,0,1
-0.6791771358090583,-1.547046906948533,False,True,False,True,True,False,False,1,0,0,0,0,0,0,1
1.0379410144695809,1.1751034696283926,True,True,True,False,True,False,False,0,0,1,0,0,0,1,3
0.6699871251241583,1.2871329998683525,True,True,True,False,True,False,True,0,0,1,0,0,0,1,3
-0.3112232464636356,1.3473279713405693,True,True,False,False,True,False,False,0,1,0,0,0,0,1,0
1.487662434780653,1.6065007651792815,True,True,True,True,False,True,False,0,0,1,0,0,0,1,3
0.7926384215726325,-1.490196100558106,False,True,False,False,False,False,False,0,0,1,0,0,0,0,2
1.5694299657463027,1.3874579523220474,True,True,True,True,True,True,False,0,0,1,0,0,0,1,3
-0.9244797287060068,-0.33478706479971776,False,True,False,False,False,True,True,0,0,0,0,1,0,0,1
-0.4747583083949346,0.8306544662040397,True,True,False,False,False,False,False,1,0,0,0,0,0,1,0
-1.2924336180514295,-0.8548047350180373,False,False,False,False,True,False,True,0,0,0,0,1,0,0,1
-0.8427121977403573,-1.5186215037533197,False,True,False,False,True,False,False,0,0,0,0,0,0,0,1
-1.2924336180514295,-1.5069169259670552,False,True,False,False,True,False,True,0,0,0,0,0,0,0,1
1.0379410144695809,-0.17761130595559563,False,True,True,True,False,False,False,0,0,1,0,1,0,0,2
0.6699871251241583,-0.18764380120096502,False,True,False,False,True,True,False,0,0,1,0,1,0,0,2
-0.10680441904951188,-0.3314428997179281,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1
0.5882195941585088,1.1416618188104943,True,True,True,False,True,True,True,0,1,0,0,0,0,1,3
-1.2924336180514295,-1.1708283352471767,False,False,False,False,True,True,True,0,0,0,0,1,0,0,1
1.6103137312291274,0.8373427963676194,False,True,True,True,True,False,False,0,0,1,0,0,0,1,3
-0.6382933703262336,-0.01709138202968338,False,True,False,False,False,True,True,1,0,0,0,0,1,0,0
1.5694299657463027,1.0413368663567992,True,True,True,True,False,False,False,0,0,1,0,0,0,1,3
-1.2515498525686046,1.0129114631615859,True,True,False,False,True,False,False,0,0,0,0,0,0,1,0
-0.22945571549798613,0.03139901165626933,False,True,False,False,False,True,False,0,1,0,0,0,1,0,0
-1.2924336180514295,-1.50524484342616,False,True,False,False,True,False,False,0,0,0,0,0,0,0,1
-1.2924336180514295,-0.6675314904378065,False,True,False,False,True,False,False,0,0,0,0,1,0,0,1
1.6103137312291274,1.1600547267603387,True,True,True,True,False,True,False,0,0,1,0,0,0,1,3
-1.1288985561201306,0.1501168720598084,True,True,False,False,True,False,True,0,0,0,0,0,1,0,0
0.547335828675684,0.3206692912310898,True,True,False,False,False,False,False,0,1,0,0,0,1,0,0
0.05673064288178709,1.3757533745357828,True,True,True,False,True,False,True,0,1,0,0,0,0,1,3
-0.883595963223182,1.0914993425836468,True,True,True,False,False,False,True,0,0,0,0,0,0,1,0
-0.9244797287060068,-0.5237323919208436,False,True,False,False,True,True,False,0,0,0,0,1,0,0,1
1.528546200263478,0.13339604665085922,False,True,True,True,False,True,False,0,0,1,0,0,1,0,2
-0.6382933703262336,-1.4868519354763161,False,True,False,False,False,True,False,1,0,0,0,0,0,0,1
1.2423598418837047,0.4895496278614764,False,True,True,True,False,False,False,0,0,1,0,0,1,0,2
-0.8018284322575325,0.3674876023761477,False,True,True,False,False,False,False,1,0,0,0,0,1,0,0
0.6699871251241583,0.645053304164704,True,True,True,False,False,False,False,0,0,1,0,0,1,0,3
-1.2515498525686046,-0.5337648871662131,False,True,False,False,True,False,False,0,0,0,0,1,0,0,1
-1.2515498525686046,0.5163029485157955,True,True,False,False,False,False,True,0,0,0,0,0,1,0,0
0.7926384215726325,0.48620546277968674,False,True,True,True,True,False,False,0,0,1,0,0,1,0,2
1.487662434780653,-0.03548428997952738,False,True,True,True,False,True,False,0,0,1,0,0,1,0,2
0.4246845322272098,0.8373427963676194,True,True,True,False,False,False,False,0,1,0,0,0,0,1,3
-0.720060901291883,1.1333014061060196,True,True,False,False,False,False,True,1,0,0,0,0,0,1,0
-0.3112232464636356,0.1434285418962286,False,True,True,False,False,False,False,0,1,0,0,0,1,0,0
-1.0062472596716563,0.5163029485157955,True,True,True,False,False,False,True,0,0,0,0,0,1,0,0
1.1197085454352305,0.32234137377198463,False,True,False,False,False,True,False,0,0,1,0,0,1,0,2
-0.5974096048434088,1.011239380620691,True,True,True,False,True,False,True,1,0,0,0,0,0,1,0
1.2423598418837047,1.1516943140558642,True,True,True,False,False,True,False,0,0,1,0,0,0,1,3
1.3650111383321788,1.4459808412533697,True,True,True,False,True,True,False,0,0,1,0,0,0,1,3
0.05673064288178709,-1.3463970020411429,False,True,True,True,False,True,False,0,1,0,0,0,0,0,1
